studentID,G3
835,0
836,1
837,2
838,3
839,4
840,5
841,6
842,7
843,8
844,9
845,10
846,11
847,12
848,13
849,14
850,15
851,16
852,17
853,18
854,19
855,20
856,0
857,1
858,2
859,3
860,4
861,5
862,6
863,7
864,8
865,9
866,10
867,11
868,12
869,13
870,14
871,15
872,16
873,17
874,18
875,19
876,20
877,0
878,1
879,2
880,3
881,4
882,5
883,6
884,7
885,8
886,9
887,10
888,11
889,12
890,13
891,14
892,15
893,16
894,17
895,18
896,19
897,20
898,0
899,1
900,2
901,3
902,4
903,5
904,6
905,7
906,8
907,9
908,10
909,11
910,12
911,13
912,14
913,15
914,16
915,17
916,18
917,19
918,20
919,0
920,1
921,2
922,3
923,4
924,5
925,6
926,7
927,8
928,9
929,10
930,11
931,12
932,13
933,14
934,15
935,16
936,17
937,18
938,19
939,20
940,0
941,1
942,2
943,3
944,4
945,5
946,6
947,7
948,8
949,9
950,10
951,11
952,12
953,13
954,14
955,15
956,16
957,17
958,18
959,19
960,20
961,0
962,1
963,2
964,3
965,4
966,5
967,6
968,7
969,8
970,9
971,10
972,11
973,12
974,13
975,14
976,15
977,16
978,17
979,18
980,19
981,20
982,0
983,1
984,2
985,3
986,4
987,5
988,6
989,7
990,8
991,9
992,10
993,11
994,12
995,13
996,14
997,15
998,16
999,17
1000,18
1001,19
1002,20
1003,0
1004,1
1005,2
1006,3
1007,4
1008,5
1009,6
1010,7
1011,8
1012,9
1013,10
1014,11
1015,12
1016,13
1017,14
1018,15
1019,16
1020,17
1021,18
1022,19
1023,20
1024,0
1025,1
1026,2
1027,3
1028,4
1029,5
1030,6
1031,7
1032,8
1033,9
1034,10
1035,11
1036,12
1037,13
1038,14
1039,15
1040,16
1041,17
1042,18
1043,19
